,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL2151411,0.1,nM,Cc1cccc2c(C3=C(c4nc(N5CCN(C)CC5)nc5ccccc45)C(=O)NC3=O)c[nH]c12,10.0
1,CHEMBL1996510,0.4,nM,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,9.397940008672037
2,CHEMBL2153750,0.6,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3cc(F)ccc3n2)CC1,9.221848749616356
3,CHEMBL48636,0.9,nM,O=C(NC1CCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,9.045757490560675
4,CHEMBL427118,0.9,nM,O=C(N[C@@H]1CCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,9.045757490560675
5,CHEMBL52529,0.9,nM,O=C(N[C@@H]1CCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,9.045757490560675
6,CHEMBL2151415,1.0,nM,Cn1cc(C2=C(c3nc(N4CCNCC4)nc4ccccc34)C(=O)NC2=O)c2ccccc21,9.0
7,CHEMBL71331,1.0,nM,O=C(NC1CCC[C@@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,9.0
8,CHEMBL2153751,1.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3cc(Cl)ccc3n2)CC1,8.920818753952375
9,CHEMBL565612,1.3,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.886056647693163
10,CHEMBL2153748,1.8,nM,CN1CCN(c2cc3ccccc3c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)n2)CC1,8.744727494896694
11,CHEMBL2151408,2.5,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccc(Cl)cc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.602059991327963
12,CHEMBL595521,2.5,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(C)CC2)ccc2[nH]ccc12,8.602059991327963
13,CHEMBL2151413,2.7,nM,CC(C)n1cc(C2=C(c3nc(N4CCN(C)CC4)nc4ccccc34)C(=O)NC2=O)c2ccccc21,8.568636235841012
14,CHEMBL345767,3.0,nM,O=C(OC[C@@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccccc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,8.522878745280337
15,CHEMBL2153749,3.2,nM,Cc1cccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c12,8.494850021680094
16,CHEMBL605112,3.4,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(c3ccccc3)CC2)ccc2[nH]ccc12,8.468521082957745
17,CHEMBL75661,4.0,nM,O=C(N[C@@H]1C[C@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.397940008672037
18,CHEMBL306427,4.0,nM,O=C(N[C@H]1C[C@H](CO)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.397940008672037
19,CHEMBL2153752,4.1,nM,Cc1ccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2c1,8.387216143280265
20,CHEMBL583906,4.3,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCNCC4)ccc3o2)ccc2[nH]ccc12,8.366531544420413
21,CHEMBL565632,4.4,nM,CN(C)CCOc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc2c1,8.356547323513812
22,CHEMBL59828,5.0,nM,O=C(N[C@@H]1CNC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
23,CHEMBL295806,5.0,nM,O=C(OC1CCCC1Cc1ccc(O)cc1)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1,8.301029995663981
24,CHEMBL177635,5.0,nM,O=C(N[C@@H]1CNCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
25,CHEMBL265559,5.0,nM,O=C(NC1CNCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
26,CHEMBL417051,5.0,nM,N[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,8.301029995663981
27,CHEMBL422056,5.0,nM,O=C(NC1CNC[C@@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
28,CHEMBL1794808,5.0,nM,O=C(N[C@H]1C[C@@H](O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1.O=C(N[C@H]1C[C@H](O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
29,CHEMBL432168,5.0,nM,N[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,8.301029995663981
30,CHEMBL66923,5.0,nM,COC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CCC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,8.301029995663981
31,CHEMBL306580,5.0,nM,O=C(N[C@@H]1CC(O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.301029995663981
32,CHEMBL570047,5.2,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCCCC4)ccc3s2)ccc2[nH]ccc12,8.2839966563652
33,CHEMBL2151412,5.7,nM,CN1CCN(c2nc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.244125144327509
34,CHEMBL593883,5.8,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC(N)CC2)ccc2[nH]ccc12,8.236572006437063
35,CHEMBL421866,6.0,nM,NC[C@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,8.221848749616356
36,CHEMBL309034,6.0,nM,O=C(N[C@@H]1C[C@@H](O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.221848749616356
37,CHEMBL67716,6.0,nM,O=C(N[C@H]1C[C@H](O)C[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,8.221848749616356
38,CHEMBL307708,6.0,nM,NC[C@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1,8.221848749616356
39,CHEMBL2151410,6.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5c(Cl)cccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.207608310501746
40,CHEMBL2153755,6.3,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccc(F)cc3n2)CC1,8.200659450546418
41,CHEMBL568580,7.3,nM,CN1CCN(c2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3c2)CC1,8.136677139879545
42,CHEMBL2147537,8.0,nM,C[C@H](N)CNc1nc(-c2ccncc2)cc2cnccc12,8.096910013008056
43,CHEMBL593163,8.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCC(N)CC2)ccc2[nH]ccc12,8.096910013008056
44,CHEMBL567103,8.2,nM,Cc1c(Nc2c(C#N)cncc2-c2coc(CN3CCC(N(C)C)CC3)c2)ccc2[nH]ccc12,8.086186147616283
45,CHEMBL2151409,8.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5cc(Cl)ccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.086186147616283
46,CHEMBL4085837,9.4,nM,CN(C)Cc1ccc2c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c(Cl)ccc2c1,8.0268721464003
47,CHEMBL567082,9.7,nM,C#Cc1cccc(-c2csc(CN3CCN(C)CC3)c2)c1Cc1ccc2c(c1C)C=CC2,8.013228265733755
48,CHEMBL570277,9.9,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCN(C)CC4)ccc3s2)ccc2[nH]ccc12,8.00436480540245
49,CHEMBL304175,10.0,nM,CC(C)(C)C(=O)OCOC(=O)c1cccc(O)c1C(=O)c1c(O)cc(C(=O)O[C@@H]2CNC[C@H]2NC(=O)c2ccc(O)cc2)cc1O,8.0
50,CHEMBL569590,10.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CNC4CCCCC4)ccc3o2)ccc2[nH]ccc12,8.0
51,CHEMBL1091481,11.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCN(CCO)CC3)n2)ccc2[nH]ccc12,7.958607314841775
52,CHEMBL2153753,12.0,nM,CC(C)c1ccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2c1,7.920818753952375
53,CHEMBL59677,12.0,nM,O=C(N[C@@H]1CNC[C@H]1NC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.920818753952375
54,CHEMBL571785,13.0,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CNCCO)ccc3o2)ccc2[nH]ccc12,7.886056647693163
55,CHEMBL494089,14.0,nM,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,7.853871964321762
56,CHEMBL568371,14.0,nM,Cc1c(Nc2c(C#N)cncc2-c2coc(CN3CCN(C(C)C)CC3)c2)ccc2[nH]ccc12,7.853871964321762
57,CHEMBL595733,15.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC[C@@H](N)C2)ccc2[nH]ccc12,7.823908740944319
58,CHEMBL4072879,15.0,nM,CNCc1ccc2ccc(Cl)c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c2c1,7.823908740944319
59,CHEMBL1088056,16.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(CN3CCC(N(C)C)CC3)cc2)ccc2[nH]ccc12,7.795880017344075
