,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL2151411,0.1,nM,Cc1cccc2c(C3=C(c4nc(N5CCN(C)CC5)nc5ccccc45)C(=O)NC3=O)c[nH]c12,10.0,452.196074008,6,2,2.7385199999999994,True
1,CHEMBL1996510,0.4,nM,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,9.397940008672036,424.16477388000004,6,3,2.0878999999999994,True
2,CHEMBL2153750,0.6,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3cc(F)ccc3n2)CC1,9.221848749616356,456.171002132,6,2,2.5692000000000004,True
6,CHEMBL2151415,1.0,nM,Cn1cc(C2=C(c3nc(N4CCNCC4)nc4ccccc34)C(=O)NC2=O)c2ccccc21,9.0,438.1804239439999,7,2,2.0982999999999996,True
8,CHEMBL2153751,1.2,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3cc(Cl)ccc3n2)CC1,8.920818753952375,472.141451592,6,2,3.083500000000001,True
9,CHEMBL565612,1.3,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.886056647693163,438.180423944,6,2,2.4301000000000004,True
10,CHEMBL2153748,1.8,nM,CN1CCN(c2cc3ccccc3c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)n2)CC1,8.744727494896694,437.18517497600004,5,2,3.035100000000001,True
11,CHEMBL2151408,2.5,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccc(Cl)cc45)C(=O)NC3=O)c3ccccc3n2)CC1,8.602059991327963,472.141451592,6,2,3.083500000000001,True
12,CHEMBL595521,2.5,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(C)CC2)ccc2[nH]ccc12,8.602059991327963,400.237544896,5,2,4.137300000000003,True
13,CHEMBL2151413,2.7,nM,CC(C)n1cc(C2=C(c3nc(N4CCN(C)CC4)nc4ccccc34)C(=O)NC2=O)c2ccccc21,8.568636235841012,480.2273741359999,7,1,3.4844000000000017,True
15,CHEMBL2153749,3.2,nM,Cc1cccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c12,8.494850021680094,452.196074008,6,2,2.7385200000000003,True
16,CHEMBL605112,3.4,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(c3ccccc3)CC2)ccc2[nH]ccc12,8.468521082957745,462.25319496,5,2,5.712100000000005,True
19,CHEMBL2153752,4.1,nM,Cc1ccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2c1,8.387216143280265,452.196074008,6,2,2.7385200000000003,True
20,CHEMBL583906,4.3,nM,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCNCC4)ccc3o2)ccc2[nH]ccc12,8.366531544420413,462.216809452,6,3,5.305000000000003,True
21,CHEMBL565632,4.4,nM,CN(C)CCOc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc2c1,8.356547323513812,425.17394159599996,4,2,3.828700000000002,True
