,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL3685304,0.01,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(O)c2)c1,11.0
1,CHEMBL4443279,0.012,nM,Fc1ccccc1Oc1nc(Nc2ccc(-c3nnn[nH]3)cc2)ncc1Cl,10.920818753952375
2,CHEMBL4462759,0.012,nM,COc1ccc(Oc2nc(Nc3ccc(-c4nnn[nH]4)cc3)ncc2Cl)cc1,10.920818753952375
3,CHEMBL4476212,0.012,nM,Fc1ccc(Oc2nc(Nc3ccc(-c4nnn[nH]4)cc3)ncc2Cl)cc1,10.920818753952375
4,CHEMBL3675462,0.03,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)c1,10.522878745280337
5,CHEMBL3675439,0.03,nM,CC(C)c1cc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.522878745280337
6,CHEMBL3680540,0.04,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(F)F)c1,10.397940008672037
7,CHEMBL3680479,0.05,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,10.301029995663981
8,CHEMBL3675508,0.05,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,10.301029995663981
9,CHEMBL3680420,0.06,nM,CC(C)c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.221848749616356
10,CHEMBL4563026,0.06,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC(C)(C)N1[O],10.221848749616356
11,CHEMBL3685244,0.06,nM,COCCOc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(OC)cc4)c3)c2c1,10.221848749616356
12,CHEMBL3639841,0.06,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3)ncnc12,10.221848749616356
13,CHEMBL3600873,0.064,nM,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,10.193820026016112
14,CHEMBL3951333,0.07,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,10.154901959985743
15,CHEMBL3675437,0.07,nM,COc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.154901959985743
16,CHEMBL3675509,0.07,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)nc2)c1,10.154901959985743
17,CHEMBL3915221,0.07,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2Cl)CC1,10.154901959985743
18,CHEMBL3685305,0.08,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4c(F)cc(Cl)cc4F)c3)ncnc12,10.096910013008056
19,CHEMBL3685272,0.08,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)c3)ncnc12,10.096910013008056
20,CHEMBL3675537,0.08,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Nc2cc(C#N)ccn2)c1,10.096910013008056
21,CHEMBL3904174,0.08,nM,O=C(O)C(F)(F)F.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Sc2cccc(Cl)c2Cl)CC1,10.096910013008056
22,CHEMBL3685262,0.08,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4)c3)ncnc12,10.096910013008056
23,CHEMBL3675465,0.08,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)c1,10.096910013008056
24,CHEMBL3685256,0.08,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4=CCC(N5CCOCC5)C=C4)c3)ncnc12,10.096910013008056
25,CHEMBL3675524,0.09,nM,COc1ccc(C(=O)Nc2cccc(C(CCO)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,10.045757490560675
26,CHEMBL3675443,0.09,nM,CC1CC=C(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)C=C1F,10.045757490560675
27,CHEMBL3892660,0.09,nM,Cl.O=C(O)[C@]1(Cc2cc(Br)cc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,10.045757490560675
28,CHEMBL3680477,0.09,nM,COCCN(C)c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.045757490560675
29,CHEMBL3685241,0.1,nM,Cc1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,10.0
30,CHEMBL3680541,0.1,nM,NC(=O)c1cccc2c(NC(CCO)c3cccc(NC(O)c4cc(C5CC5)n[nH]4)c3)ncnc12,10.0
31,CHEMBL3675484,0.1,nM,COc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.0
32,CHEMBL3685250,0.11,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)nc4)c3)ncnc12,9.958607314841775
33,CHEMBL4460717,0.11,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc([N+](=O)[O-])c(Nc4ccc(C(=O)Nc5cccc(Cl)c5)cc4)n3)cc2)CC(C)(C)N1[O],9.958607314841775
34,CHEMBL3670470,0.11,nM,CN(C)c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.958607314841775
35,CHEMBL3685306,0.11,nM,COc1cc(F)c(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c(F)c1,9.958607314841775
36,CHEMBL3675457,0.11,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)(F)F)ccc2F)c1,9.958607314841775
37,CHEMBL3923139,0.11,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(C(F)(F)F)c2F)CC1,9.958607314841775
38,CHEMBL3685237,0.12,nM,CC(C)c1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.920818753952375
39,CHEMBL3680532,0.12,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,9.920818753952375
40,CHEMBL3675446,0.12,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4Cl)c3)ncnc12,9.920818753952375
41,CHEMBL3685245,0.12,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,9.920818753952375
42,CHEMBL3680402,0.12,nM,COc1ccc(C(=O)Nc2cc([C@@H](C)Nc3nccc4c(C(N)=O)cccc34)ccc2F)cc1F,9.920818753952375
43,CHEMBL3680488,0.12,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CCCC2)c1,9.920818753952375
44,CHEMBL3675459,0.12,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,9.920818753952375
45,CHEMBL3967012,0.12,nM,Fc1c(Cl)cccc1O[C@H]1CC[C@](Cc2cccc(Nc3cc[nH]n3)n2)(c2n[nH]c(=S)o2)CC1,9.920818753952375
46,CHEMBL3977678,0.12,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2)CC1,9.920818753952375
47,CHEMBL3685307,0.12,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(O)cc34)c2)cc1,9.920818753952375
48,CHEMBL3897985,0.12,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(F)c2F)CC1,9.920818753952375
49,CHEMBL3680460,0.13,nM,COc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1F,9.886056647693163
50,CHEMBL3899823,0.13,nM,O=C(O)C(F)(F)F.O=C(O)[C@]1(Cc2cccc(Nc3cc[nH]n3)n2)CC[C@@H](Sc2cccc(Cl)c2Cl)CC1,9.886056647693163
51,CHEMBL3685247,0.13,nM,CCOc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.886056647693163
52,CHEMBL4440617,0.14,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc([N+](=O)[O-])c(Nc4cccc(O)c4)n3)cc2)CC(C)(C)N1[O],9.853871964321762
53,CHEMBL3675532,0.15,nM,CNc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccn1,9.823908740944319
54,CHEMBL3929632,0.15,nM,O=C(O)C(F)(F)F.O=C(O)[C@]1(Cc2cccc(Nc3cc[nH]n3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,9.823908740944319
55,CHEMBL3949419,0.15,nM,O=C(O)C(F)(F)F.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](S(=O)(=O)c2cccc(Cl)c2Cl)CC1,9.823908740944319
56,CHEMBL3680542,0.15,nM,NC(=O)c1cccc2c(NCc3cccc(Nc4ccccn4)c3)ncnc12,9.823908740944319
57,CHEMBL3680543,0.15,nM,NC(=O)c1cccc2c(NCc3cccc(Nc4cc(C(F)(F)F)ccn4)c3)ncnc12,9.823908740944319
58,CHEMBL382667,0.15,nM,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,9.823908740944319
59,CHEMBL3680544,0.16,nM,CCOC(=O)c1cnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)s1,9.795880017344075
60,CHEMBL3675441,0.16,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(F)cc4F)c3)ncnc12,9.795880017344075
61,CHEMBL3680545,0.16,nM,COc1ccc(C(=O)Nc2cccc(C(CCCO)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.795880017344075
62,CHEMBL3685248,0.16,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4CCCCC4)c3)ncnc12,9.795880017344075
63,CHEMBL3675516,0.16,nM,C=CCN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,9.795880017344075
