,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL3685304,0.01,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(O)c2)c1,11.0,445.15501772,6,4,3.998800000000001,True
1,CHEMBL4443279,0.012,nM,Fc1ccccc1Oc1nc(Nc2ccc(-c3nnn[nH]3)cc2)ncc1Cl,10.920818753952377,383.06976387200007,7,2,3.985100000000001,True
2,CHEMBL4462759,0.012,nM,COc1ccc(Oc2nc(Nc3ccc(-c4nnn[nH]4)cc3)ncc2Cl)cc1,10.920818753952377,395.089750368,8,2,3.8546000000000014,True
3,CHEMBL4476212,0.012,nM,Fc1ccc(Oc2nc(Nc3ccc(-c4nnn[nH]4)cc3)ncc2Cl)cc1,10.920818753952377,383.069763872,7,2,3.985100000000001,True
4,CHEMBL3675462,0.03,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)c1,10.522878745280336,457.2226231040001,6,4,4.174700000000002,True
5,CHEMBL3675439,0.03,nM,CC(C)c1cc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.522878745280336,443.2069730400001,6,4,4.000600000000001,True
6,CHEMBL3680540,0.04,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(F)F)c1,10.397940008672036,411.15068128800004,5,3,3.4955000000000016,True
8,CHEMBL3675508,0.05,nM,COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,10.30102999566398,533.106251728,6,3,4.933200000000003,True
9,CHEMBL3680420,0.06,nM,CC(C)c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,10.221848749616356,443.2069730400001,6,4,4.000600000000001,True
11,CHEMBL3685244,0.06,nM,COCCOc1cc(C(N)=O)c2ncnc(NCc3cccc(NC(=O)c4ccc(OC)cc4)c3)c2c1,10.221848749616356,501.20121896399996,8,3,3.626900000000002,True
12,CHEMBL3639841,0.06,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3)ncnc12,10.221848749616356,477.124860464,7,3,3.914600000000002,True
13,CHEMBL3600873,0.064,nM,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,10.193820026016112,461.097618432,6,2,5.709300000000003,True
14,CHEMBL3951333,0.07,nM,Cl.O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,10.154901959985745,497.07429614399996,6,2,6.131100000000003,True
15,CHEMBL3675437,0.07,nM,COc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.154901959985745,442.175338564,7,3,3.5577000000000005,True
16,CHEMBL3675509,0.07,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)nc2)c1,10.154901959985745,480.15215850800007,6,3,4.567900000000002,True
