,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL3680444,0.042,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,10.3767507096021,428.1596885,7,3,2.9967000000000006,True
1,CHEMBL3680508,0.045,nM,NC(=O)c1cccc2c(NCc3ccc(NC(=O)c4cc(C(F)(F)F)n[nH]4)cc3)ncnc12,10.346787486224656,455.13175741200007,6,4,3.335000000000001,True
2,CHEMBL3680447,0.046,nM,CCN(CC)c1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,10.337242168318426,482.24302420000004,6,3,5.000300000000003,True
3,CHEMBL3680552,0.06,nM,N#Cc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.221848749616356,395.149458164,7,3,3.3510800000000005,True
4,CHEMBL3685243,0.061,nM,Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,10.214670164989233,411.16952491200004,5,3,3.9015200000000014,True
5,CHEMBL3685277,0.089,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc(C5CC5)n[nH]4)c3)ncnc12,10.050609993355089,427.1756729120001,6,4,3.193600000000001,True
6,CHEMBL3675525,0.17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(O)c4cc(C(F)(F)F)ccc4F)c3)ncnc12,9.769551078621726,485.14748772800004,6,4,4.601700000000002,True
7,CHEMBL3680596,0.18,nM,N#CCc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.744727494896694,409.165108228,7,3,3.5454800000000004,True
8,CHEMBL3685262,0.18,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4)c3)ncnc12,9.744727494896694,431.114902496,5,3,4.246500000000002,True
9,CHEMBL3639841,0.2,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3)ncnc12,9.69897000433602,477.124860464,7,3,3.914600000000002,True
10,CHEMBL3685245,0.21,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,9.67778070526608,483.13183766400005,5,3,4.751000000000003,True
11,CHEMBL3685306,0.22,nM,COc1cc(F)c(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c(F)c1,9.657577319177792,463.145595908,6,3,3.879900000000002,True
12,CHEMBL3670499,0.24,nM,NC(=O)c1cc(O)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,9.619788758288394,362.0990603160001,5,3,3.065200000000001,True
13,CHEMBL3675441,0.25,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(F)cc4F)c3)ncnc12,9.602059991327964,433.13503122400004,5,3,3.8713000000000015,True
14,CHEMBL3680500,0.26,nM,CNc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.585026652029182,427.17567291200004,7,4,3.0298000000000007,True
15,CHEMBL3680420,0.27,nM,CC(C)c1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.568636235841012,443.2069730400001,6,4,4.000600000000001,True
17,CHEMBL3680403,0.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(Cl)c4)c3)ncnc12,9.522878745280336,465.07593014400004,5,3,4.899900000000002,True
18,CHEMBL3680554,0.3,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4[nH]nc5c4CCCC5)c3)ncnc12,9.522878745280336,441.1913229760001,6,4,3.195000000000001,True
19,CHEMBL3685257,0.31,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1OC,9.508638306165729,457.175004216,7,3,3.6103000000000014,True
20,CHEMBL4799738,0.316,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5cccc(F)c5)c4)ncnc3c2)cn1,9.500312917381596,453.1713364800001,6,3,5.557000000000003,True
21,CHEMBL3675501,0.32,nM,Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,9.494850021680094,426.18042394400004,6,3,3.857520000000001,True
22,CHEMBL3685237,0.33,nM,CC(C)c1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)[nH]n1,9.481486060122112,429.1913229760001,6,4,3.4396000000000004,True
23,CHEMBL4784002,0.336,nM,Cn1cc(-c2ccc3c(Nc4ccc(NC(=O)Nc5cccc(F)c5)cc4)ncnc3c2)cn1,9.473660722610155,453.1713364800001,6,3,5.557000000000003,True
25,CHEMBL3675446,0.35,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)cc4Cl)c3)ncnc12,9.455931955649724,465.07593014400004,5,3,4.899900000000002,True
26,CHEMBL3675459,0.35,nM,CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,9.455931955649724,546.137886204,6,3,4.848400000000003,True
27,CHEMBL3670467,0.35,nM,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.455931955649724,427.164439532,6,3,3.601700000000001,True
28,CHEMBL415049,0.37,nM,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,9.431798275933003,587.2057465620001,9,5,3.616900000000002,True
29,CHEMBL4633715,0.37,nM,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCP(=O)(O)O,9.431798275933003,571.210831942,8,5,3.6853000000000016,True
30,CHEMBL3685252,0.38,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(Cl)c4)c3)ncnc12,9.42021640338319,431.114902496,5,3,4.246500000000002,True
31,CHEMBL3685250,0.38,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(C(F)(F)F)nc4)c3)ncnc12,9.42021640338319,466.13650844400007,6,3,4.006900000000002,True
32,CHEMBL3680550,0.38,nM,COCC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,9.42021640338319,485.206304344,7,3,4.179300000000002,True
33,CHEMBL3680572,0.39,nM,Cc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.4089353929735,384.16985925999995,6,3,3.7878200000000017,True
34,CHEMBL3675493,0.4,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2=CCC(Cl)N=C2)c1,9.397940008672036,448.14145159200007,6,3,3.8061000000000025,True
35,CHEMBL3675444,0.4,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(O)c2)c1,9.397940008672036,445.15501772,6,4,3.998800000000001,True
36,CHEMBL3329684,0.4,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)NCCN3CCCC3)c2C)c(F)c1,9.397940008672036,588.2496463760001,6,5,4.059440000000003,True
37,CHEMBL3680460,0.41,nM,COc1ccc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1F,9.387216143280265,459.170667784,6,3,4.301800000000003,True
38,CHEMBL3675438,0.43,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc3c(c2)OCO3)c1,9.366531544420411,455.159354152,7,3,3.8828000000000022,True
