,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL2140408,1.0,nM,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,9.0
1,CHEMBL388978,2.42,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.616184634019568
2,CHEMBL482767,3.0,nM,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,8.522878745280337
3,CHEMBL4277690,3.0,nM,O=C(Nc1cccc(Cl)c1)NC1NC=C(CCNc2ncnc3sccc23)S1,8.522878745280337
4,CHEMBL3393498,3.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)[C@H]2c1cccc(Oc2nc3ccccc3[nH]2)c1,8.522878745280337
5,CHEMBL1090479,6.5,nM,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,8.187086643357144
6,CHEMBL1980297,7.0,nM,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,8.154901959985743
7,CHEMBL3600873,12.0,nM,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,7.920818753952375
8,CHEMBL3699142,15.0,nM,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,7.823908740944319
9,CHEMBL415049,17.0,nM,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,7.769551078621726
10,CHEMBL605003,17.0,nM,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,7.769551078621726
11,CHEMBL1086579,19.0,nM,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,7.721246399047171
12,CHEMBL4206831,53.0,nM,CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1,7.275724130399211
13,CHEMBL402548,61.0,nM,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,7.214670164989233
14,CHEMBL1258913,62.0,nM,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,7.207608310501746
15,CHEMBL3969370,63.0,nM,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1,7.200659450546418
16,CHEMBL482967,65.0,nM,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,7.187086643357144
17,CHEMBL3322563,67.2,nM,O=C(CC(=O)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1)Nc1ccc(F)cc1,7.172630726946174
18,CHEMBL572878,70.0,nM,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,7.154901959985743
19,CHEMBL1092509,100.0,nM,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O,7.0
20,CHEMBL3265229,100.0,nM,CC(=O)O/N=C1C(=C2/C(=O)Nc3c(Br)cccc32)/Nc2ccccc2/1,7.0
21,CHEMBL5190521,120.0,nM,CN1C(=O)c2cc3ccccc3cc2N(C)c2nc(Nc3cnn(C4CCNCC4)c3)ncc21,6.920818753952375
22,CHEMBL363160,120.0,nM,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,6.920818753952375
23,CHEMBL3322565,153.5,nM,COc1ccc(NC(=O)CC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)O)c2C)cc1,6.813891620186794
24,CHEMBL409450,200.0,nM,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,6.698970004336019
25,CHEMBL274654,210.0,nM,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,6.6777807052660805
26,CHEMBL392525,227.0,nM,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,6.6439741428068775
27,CHEMBL3133821,259.0,nM,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,6.586700235918748
28,CHEMBL2436978,290.0,nM,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,6.537602002101044
29,CHEMBL126077,300.0,nM,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,6.522878745280337
30,CHEMBL211243,400.0,nM,CO/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,6.3979400086720375
31,CHEMBL188343,400.0,nM,c1nc2c(NC3CCCCC3)nc(Nc3ccc(N4CCOCC4)cc3)nc2[nH]1,6.3979400086720375
32,CHEMBL5185225,493.0,nM,COc1c(Nc2cc(C)[nH]n2)nc(Sc2ccc(S(=O)(=O)Cc3cccc([N+](=O)[O-])c3F)cc2F)nc1N1CCOCC1,6.30715308072277
33,CHEMBL4092824,540.0,nM,Cc1cc(-c2cc(C(F)F)c(OC[C@@](C)(N)CC(C)C)cn2)ccn1,6.267606240177031
34,CHEMBL209648,600.0,nM,O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12,6.221848749616356
35,CHEMBL209849,700.0,nM,CC(=O)O/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,6.154901959985743
36,CHEMBL373834,700.0,nM,O=Nc1c(-c2c(O)[nH]c3c(Br)cccc23)[nH]c2ccccc12,6.154901959985743
37,CHEMBL213650,900.0,nM,O=Nc1c(-c2c(O)[nH]c3c(Cl)cccc23)[nH]c2ccccc12,6.045757490560675
38,CHEMBL243985,1000.0,nM,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(F)cccc32)\Nc2ccccc2\1,6.0
39,CHEMBL212174,1000.0,nM,O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,6.0
40,CHEMBL3639728,1000.0,nM,COc1ncc(F)cc1CNc1ccc(Cc2c[nH]c3ncc(C)cc23)c(F)n1,6.0
41,CHEMBL1231066,1950.0,nM,Clc1cnc2c(Nc3ccc(N4CCOCC4)cc3)nc(-c3cccnc3)cn12,5.709965388637482
42,CHEMBL395766,4500.0,nM,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(Br)cccc32)\Nc2ccccc2\1,5.346787486224656
43,CHEMBL3361128,4750.0,nM,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2ccccc21,5.323306390375134
44,CHEMBL395077,28000.0,nM,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(I)cccc32)\Nc2ccccc2\1,4.552841968657781
