,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1,CHEMBL388978,2.42,nM,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.616184634019568,466.200490692,6,2,4.354000000000003,True
2,CHEMBL482767,3.0,nM,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,8.522878745280337,430.0437287800001,7,3,5.099800000000001,True
3,CHEMBL4277690,3.0,nM,O=C(Nc1cccc(Cl)c1)NC1NC=C(CCNc2ncnc3sccc23)S1,8.522878745280337,432.0593788440001,7,4,4.429800000000002,True
4,CHEMBL3393498,3.0,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)[C@H]2c1cccc(Oc2nc3ccccc3[nH]2)c1,8.522878745280337,468.17975524800005,6,3,5.424500000000004,True
6,CHEMBL1980297,7.0,nM,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,8.154901959985743,488.14307313200004,7,4,5.184400000000003,True
7,CHEMBL3600873,12.0,nM,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,7.920818753952375,461.097618432,6,2,5.709300000000003,True
8,CHEMBL3699142,15.0,nM,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,7.823908740944319,464.221226136,4,3,4.168300000000004,True
9,CHEMBL415049,17.0,nM,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,7.769551078621726,587.2057465620001,9,5,3.616900000000002,True
10,CHEMBL605003,17.0,nM,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,7.769551078621726,371.13036253200005,3,2,2.6365000000000007,True
11,CHEMBL1086579,19.0,nM,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,7.721246399047171,474.1491195840001,8,1,2.09082,True
13,CHEMBL402548,61.0,nM,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,7.214670164989233,474.23793882,6,2,2.643700000000001,True
14,CHEMBL1258913,62.0,nM,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,7.207608310501746,544.225659884,7,3,4.280200000000003,True
16,CHEMBL482967,65.0,nM,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,7.187086643357144,368.14193026,8,2,3.070920000000001,True
17,CHEMBL3322563,67.2,nM,O=C(CC(=O)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1)Nc1ccc(F)cc1,7.172630726946174,404.1284686240001,3,4,3.6138000000000012,True
18,CHEMBL572878,70.0,nM,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,7.154901959985743,464.2106785160001,8,3,3.5032200000000016,True
19,CHEMBL1092509,100.0,nM,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O,7.0,354.99563866,4,3,3.4163000000000023,True
20,CHEMBL3265229,100.0,nM,CC(=O)O/N=C1C(=C2/C(=O)Nc3c(Br)cccc32)/Nc2ccccc2/1,7.0,397.006203344,5,2,3.505200000000001,True
