,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL337677,3.0,nM,Nc1nc(Oc2cccs2)c2[nH]cnc2n1,8.522878745280337,233.037130844,6,2,1.7888999999999995,True
1,CHEMBL146769,5.0,nM,NC1=NC(OCc2ccc(Br)s2)c2[nH]cnc2N1,8.301029995663981,326.97894304000005,6,3,2.1893000000000002,True
2,CHEMBL485756,9.0,nM,NCc1cccc(COc2nc(N)nc3nc[nH]c23)c1,8.045757490560675,270.12290906799996,6,3,0.9727999999999997,True
3,CHEMBL339133,9.0,nM,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,8.045757490560675,324.96329297600005,6,2,2.3381,True
4,CHEMBL151579,18.0,nM,NC1=NC(OCc2cccs2)c2[nH]cnc2N1,7.744727494896693,249.068430972,6,3,1.4267999999999998,True
5,CHEMBL2171205,25.0,nM,CN(C)Cc1cccc(COc2nc(N)nc3[nH]cnc23)c1,7.602059991327962,298.154209196,6,2,1.5756999999999997,True
9,CHEMBL345550,33.0,nM,NC1=NC(OCc2cncs2)c2[nH]cnc2N1,7.481486060122112,250.06367994,7,3,0.8218000000000001,True
10,CHEMBL333928,38.0,nM,Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,7.42021640338319,242.09160894,6,2,0.9091,True
11,CHEMBL151495,40.0,nM,NC1=NC(OCc2ccnc(Cl)c2)c2[nH]cnc2N1,7.397940008672037,278.06828665200004,6,3,1.4136999999999997,True
12,CHEMBL149722,51.0,nM,Nc1nc(N)c(N=O)c(OCc2ccc(F)cc2)n1,7.292429823902063,263.08185278,7,2,1.757,True
13,CHEMBL150324,70.0,nM,NC1=NC(OCc2cnsc2)c2[nH]cnc2N1,7.154901959985743,250.06367994,7,3,0.8218000000000001,True
14,CHEMBL146768,80.0,nM,NC1=NC(OCc2ccco2)c2[nH]cnc2N1,7.096910013008056,233.091274592,6,3,0.9583000000000002,True
15,CHEMBL2171202,86.0,nM,CC(=O)NCc1cccc(COc2nc(N)nc3[nH]cnc23)c1,7.0655015487564325,312.13347375200004,6,3,1.1501999999999994,True
