,Nome,SMILES,SMILES_Canonic
0,"NUBBE_1 # 3,4-dihydroxybenzoic acid geranyl ester",O=C(OC/C=C(\C)/CCC=C(C)C)c1cc(O)c(O)cc1,CC(C)=CCC/C(C)=C/COC(=O)c1ccc(O)c(O)c1
1,"NUBBE_10 # Rel-(1R,4S)-7-hydroxycalamenene",Oc1c(C)cc2[C@H](C(C)C)CC[C@@H](C)c2c1,Cc1cc2c(cc1O)[C@H](C)CC[C@H]2C(C)C
2,NUBBE_103 # Cordifoline,C=C[C@@H]1[C@@H](OC=C([C@@H]1Cc1nc(C(=O)O)cc2c1[nH]c1ccc(cc21)O)C(=O)OC)O[C@@H]1O[C@@H]([C@H]([C@H](O)[C@H]1O)O)CO,C=C[C@@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@@H]1Cc1nc(C(=O)O)cc2c1[nH]c1ccc(O)cc12
3,NUBBE_1267 # (E)-suberenol,O=C1C=Cc2c(O1)cc(c(c2)/C=C/C(O)(C)C)OC,COc1cc2oc(=O)ccc2cc1/C=C/C(C)(C)O
4,CAS_NuBBE_jylrw,O=C(OCC[C@@H](CC[C@]1([C@@H]2[C@@](C(=CCC2)C)(CC[C@@H]1C)C)C)C)C,CC(=O)OCC[C@H](C)CC[C@@]1(C)[C@H]2CCC=C(C)[C@@]2(C)CC[C@@H]1C
5,CAS_NuBBE_jykiz,O=C(OC)C[C@@H](CC[C@]1([C@@H]2[C@@](C(=CCC2)C)(CC[C@@H]1C)C)C)C,COC(=O)C[C@H](C)CC[C@@]1(C)[C@H]2CCC=C(C)[C@@]2(C)CC[C@@H]1C
6,CAS_NuBBE_jyoow,O=C1[C@@]([C@@H]2[C@](CC1)([C@@]1(C(=CC2)C(=O)CC1)C)C)(CC(=O)OC)C,COC(=O)C[C@@]1(C)C(=O)CC[C@@]2(C)[C@@H]1CC=C1C(=O)CC[C@@]12C
7,CAS_NuBBE_jyqwl,O=C1[C@]2(O)[C@](CC1)([C@@]1([C@H](CC2)[C@@](CCC1)(CC(=O)OC)C)C)C,COC(=O)C[C@]1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(O)C(=O)CC[C@]21C
8,CAS_NuBBE_jyqwm,O=C1[C@@]([C@@H]2[C@](CC1)([C@@]1([C@H](CC2)C(=O)CC1)C)C)(CC(=O)OC)C,COC(=O)C[C@@]1(C)C(=O)CC[C@@]2(C)[C@@H]1CC[C@@H]1C(=O)CC[C@@]12C
9,CAS_NuBBE_jyqwn,O=C1[C@]([C@]2([C@@H](CC1)[C@](C(=O)CC2)(CC(=O)OC)C)C)(CCC(=O)OC)C,COC(=O)CC[C@]1(C)C(=O)CC[C@H]2[C@@](C)(CC(=O)OC)C(=O)CC[C@]21C
10,CAS_NuBBE_jycfq,O=C1[C@]2(OC2(C)C)[C@@](/C=C\C(=O)OC)([C@H]2[C@@]([C@@H]1OC(=O)C)([C@]13O[C@H]1C(=O)O[C@@H]([C@@]3(CC2)C)c1cocc1)C)C,COC(=O)/C=C\[C@@]1(C)[C@@H]2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@]2(C)[C@H](OC(C)=O)C(=O)[C@]12OC2(C)C
11,CAS_NuBBE_jyqxc,O=C1[C@]23O[C@@](OC2(C)C)(OC)C=C[C@@]3([C@@H]2[C@@]([C@@H]1O)([C@]13O[C@H]1C(=O)O[C@@H]([C@@]3(CC2)C)c1cocc1)C)C,CO[C@@]12C=C[C@]3(C)[C@H]4CC[C@@]5(C)[C@@H](c6ccoc6)OC(=O)[C@@H]6O[C@@]65[C@]4(C)[C@H](O)C(=O)[C@]3(O1)C(C)(C)O2
12,CAS_NuBBE_jyqxb,O=C1O[C@H](c2cocc2)[C@]2([C@@]3([C@H]1O3)[C@]1([C@H](CC2)[C@@]2(C(=CC1)C(O[C@@H]2CC(=O)O)(C)C)C)C)C,CC1(C)O[C@H](CC(=O)O)[C@@]2(C)C1=CC[C@]1(C)[C@@H]2CC[C@@]2(C)[C@@H](c3ccoc3)OC(=O)[C@@H]3O[C@@]321
13,CAS_NuBBE_jyqxe,O=C1O[C@H](c2cocc2)[C@]2([C@@]3([C@H]1O3)[C@]1([C@H](CC2)[C@@]2(C(=CC1)C(O[C@@H]2CC(=O)OC)(C)C)C)C)C,COC(=O)C[C@H]1OC(C)(C)C2=CC[C@]3(C)[C@H](CC[C@@]4(C)[C@@H](c5ccoc5)OC(=O)[C@@H]5O[C@@]543)[C@]21C
14,NUBBE_1268 # (Z)-suberenol,O=C1C=Cc2c(O1)cc(c(c2)/C=C/C(O)(C)C)OC,COc1cc2oc(=O)ccc2cc1/C=C/C(C)(C)O
15,CAS_NuBBE_jyphf,O=C1C2=C(CCC(O2)(C)C)C(=O)c2c1cccc2O,CC1(C)CCC2=C(O1)C(=O)c1cccc(O)c1C2=O
16,CAS_NuBBE_jyqmr,O=C1c2c(O)cccc2C(=O)C2=C1C=CC(O2)(C)C,CC1(C)C=CC2=C(O1)C(=O)c1cccc(O)c1C2=O
17,CAS_NuBBE_jyqto,O=C(OC)/C(=C/C[C@@H]1C(=C)CC[C@@H]2[C@]1(CCCC2(C)C)C)/CC=O,C=C1CC[C@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1C/C=C(\CC=O)C(=O)OC
18,CAS_NuBBE_jyqtm,O=C(O[C@H]1OO[C@@H](C=C(C1)C=O)[C@H]1C(=C)CC[C@@H]2[C@@]1(CCCC2(C)C)C)C,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1[C@@H]1C=C(C=O)C[C@@H](OC(C)=O)OO1
