,Index,Nome,SMILES
0,10450,CAS_NuBBE_jxlly,O=C1O[C@H](C(=C1O)O)[C@@H](O)CO
1,9459,CAS_NuBBE_jxlly,O=C1O[C@H](C(=C1O)O)[C@@H](O)CO
2,11380,CAS_NuBBE_jxlly,O=C1O[C@H](C(=C1O)O)[C@@H](O)CO
3,9937,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
4,8068,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
5,11245,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
6,9473,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
7,7033,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
8,10470,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
9,14094,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
10,11791,CAS_NuBBE_jxlmb,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
11,8031,CAS_NuBBE_jxlor,O=C(O)CCCN
12,10414,CAS_NuBBE_jxlor,O=C(O)CCCN
13,11789,CAS_NuBBE_jxlox,O=C(O)CN
14,8064,CAS_NuBBE_jxlox,O=C(O)CN
15,10466,CAS_NuBBE_jxlox,O=C(O)CN
16,7031,CAS_NuBBE_jxlox,O=C(O)CN
17,10405,CAS_NuBBE_jxloy,O=C(O)[C@@H](N)C
18,11770,CAS_NuBBE_jxloy,O=C(O)[C@@H](N)C
19,8028,CAS_NuBBE_jxloy,O=C(O)[C@@H](N)C
20,8044,CAS_NuBBE_jxloz,O=C(O)[C@H](N)CO
21,11775,CAS_NuBBE_jxloz,O=C(O)[C@H](N)CO
22,10425,CAS_NuBBE_jxloz,O=C(O)[C@H](N)CO
25,11763,CAS_NuBBE_jxlpj,O=C(O)[C@H](N)CC(=O)O
23,8017,CAS_NuBBE_jxlpj,O=C(O)[C@H](N)CC(=O)O
24,10393,CAS_NuBBE_jxlpj,O=C(O)[C@H](N)CC(=O)O
26,11768,CAS_NuBBE_jxlpk,O=C(O)[C@H](N)CCC(=O)N
27,10396,CAS_NuBBE_jxlpk,O=C(O)[C@H](N)CCC(=O)N
28,8022,CAS_NuBBE_jxlpk,O=C(O)[C@H](N)CCC(=O)N
29,11762,CAS_NuBBE_jxlpl,O=C(O)[C@H](N)CCC(=O)O
30,8014,CAS_NuBBE_jxlpl,O=C(O)[C@H](N)CCC(=O)O
31,10390,CAS_NuBBE_jxlpl,O=C(O)[C@H](N)CCC(=O)O
32,10472,CAS_NuBBE_jxlpm,O=C(O)[C@H](N)CCCCN
33,11793,CAS_NuBBE_jxlpm,O=C(O)[C@H](N)CCCCN
34,8071,CAS_NuBBE_jxlpm,O=C(O)[C@H](N)CCCCN
43,10388,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
36,14355,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
35,14115,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
37,15411,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
39,12674,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
44,11129,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
50,11761,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
47,7515,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
40,7828,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
41,12907,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
45,12923,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
46,8013,CAS_NuBBE_jxlpu,O=C(O)CCCCCCCCCCCCCCC
