,Nome,SMILES,SMILES_Canonic
0,100-06-1,c1c(OC)ccc(c1)C(=O)C,COc1ccc(C(C)=O)cc1
1,100-09-4,OC(=O)c1ccc(cc1)OC,COc1ccc(C(=O)O)cc1
2,100-41-4,c1ccc(cc1)CC,CCc1ccccc1
3,100-42-5,C=Cc1ccccc1,C=Cc1ccccc1
4,100-47-0,c1ccccc1C#N,N#Cc1ccccc1
5,100-51-6,OCc1ccccc1,OCc1ccccc1
6,100-53-8,SCc1ccccc1,SCc1ccccc1
7,1000006-45-0,C(=C\c1cc(OC)c2c(c1)OCO2)/C(=O)OC,COC(=O)/C=C/c1cc(OC)c2c(c1)OCO2
8,1000819-42-0,O[C@H](CC[C@@H]([C@@H](CO)N)O)/C=C\CCCCCCCCCC,CCCCCCCCCC/C=C\[C@H](O)CC[C@H](O)[C@H](N)CO
9,10012-48-3,Oc1cc(c(cc1C(C)C)OC)C,COc1cc(C(C)C)c(O)cc1C
10,100198-09-2,O[C@H](C(C)(C)O)[C@H](C[C@H](C)[C@@H]1CC[C@]2([C@@]1(C)CC[C@@H]1C2=CC[C@@H]2[C@]1(C)CCC(=O)C2(C)C)C)O,C[C@@H](C[C@H](O)[C@H](O)C(C)(C)O)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C
11,1002-43-3,C(CCCCCC[C@@H](CC)C)C,CCCCCCCC[C@H](C)CC
12,1002-84-2,OC(=O)CCCCCCCCCCCCCC,CCCCCCCCCCCCCCC(=O)O
13,1003-04-9,O=C1CSCC1,O=C1CCSC1
14,10031-87-5,O=C(C)OCC(CC)CC,CCC(CC)COC(C)=O
15,100312-76-3,C(=C\[C@H](S(=O)(=O)C)C)/C,C/C=C/[C@@H](C)S(C)(=O)=O
16,10032-13-0,O=C(CC(C)C)OCCCCCC,CCCCCCOC(=O)CC(C)C
17,10032-15-2,O=C([C@H](CC)C)OCCCCCC,CCCCCCOC(=O)[C@@H](C)CC
18,1004979-07-0,O[C@H]1CC[C@]2([C@H](C1(C)C)CC(=O)c1c2ccc(c1)C(C)C)C,CC(C)c1ccc2c(c1)C(=O)C[C@H]1C(C)(C)[C@@H](O)CC[C@]21C
19,1005177-20-7,C(=C)C1=C[C@]23C(C)(C)[C@@H]4C[C@@]2(C(C1)(C)C)[C@H]3C4,C=CC1=C[C@@]23[C@@H]4C[C@@H](C[C@@]42C(C)(C)C1)C3(C)C
