,Nome,SMILES,SMILES_Canonic
0,102-96-5,[O-][N](=O)/C=C/c1ccccc1,
1,1099858-90-8,Oc1c(O)cc2[c](c1)ccc1c2n(cc2c1ccc(c2OC)OC)C,
2,1156502-52-1,O[C@H]1[C@H](O[C@H]([C@@H]1O)n1[cH]cc(cc1)C(=O)N)CO[P@@](=O)(O[P@@](=O)(OC[C@@H]1O[C@@H]([C@H]([C@@H]1O)NC(=O)c1cccc(c1)OC)n1cnc2c1ncnc2NCc1cccc2c1cccc2)O)O,
3,1198580-92-5,Oc1c(OC)cc(c2c1-c1c(OC)c(OC)cc3c1[C@H](C2)N(CC3)C)[N](=O)[O-],
4,1201786-16-4,c1c(OC)cc(c(c1)N[C@H]1C2=C(OC1(C)C)c1c(C(=O)C2=O)cccc1)[N](=O)[O-],
5,1201786-17-5,c1ccc2c(c1)C(=O)C(=O)C1=C2OC([C@@H]1Nc1cc([N](=O)[O-])ccc1C)(C)C,
6,1201786-18-6,c1ccc2c(c1)C1=C(C(=O)C2=O)[C@H](C(O1)(C)C)Nc1ccc(c(c1)[N](=O)[O-])F,
7,1201786-19-7,c1ccc2c(c1)C1=C(C(=O)C2=O)[C@@H](C(O1)(C)C)Nc1ccccc1[N](=O)[O-],
8,1201786-20-0,c1ccc2c(c1)C1=C(C(=O)C2=O)[C@@H](C(O1)(C)C)Nc1ccc(cc1C)[N](=O)[O-],
9,1256635-19-4,C1[N@]2CCC[C@H]2C[C@H]2[C@@]1([N](=O)[O-])C[C@@]1(C2(C)C)C(=O)Nc2c1ccc1c2C(=O)CC(O1)(C)C,
10,1256635-21-8,C1[N@]2CCC[C@H]2C[C@H]2[C@@]1([N](=O)[O-])C[C@@]1(C2(C)C)C(=O)Nc2c1ccc1c2C(=O)CC(O1)(C)C,
11,130929-57-6,N#C/C(=C\c1cc(O)c(c(c1)[N](=O)[O-])O)/C(=O)N(CC)CC,
12,1310048-30-6,Oc1ccc(cc1)c1o[c]2cc(O)c(cc2c(c1)c1ccc(cc1O)OC)[C@H]1COc2c(C1)ccc(c2)OC,
13,1334503-38-6,OC(=O)[C@]1(C)CCC[C@@]2([C@H]1CC[C@@]13[C@@H]2CC[C@H](C1)[C@@](C3)(NC(=S)N/N=C/c1ccccc1[N](=O)[O-])C)C,
14,1334503-40-0,OC(=O)[C@]1(C)CCC[C@@]2([C@H]1CC[C@@]13[C@@H]2CC[C@H](C1)[C@@](C3)(NC(=S)N/N=C/c1cccc(c1)[N](=O)[O-])C)C,
15,1334503-42-2,OC(=O)[C@]1(C)CCC[C@@]2([C@H]1CC[C@@]13[C@@H]2CC[C@H](C1)[C@@](C3)(NC(=S)N/N=C/c1ccc(cc1)[N](=O)[O-])C)C,
16,1384956-45-9,O[C@@H]1C=C2CC[N@]3[C@H]2[C@@H]([C@H]1OC(=O)c1ccc(cc1)[N](=O)[O-])c1cc2OCOc2cc1C3,
17,1384956-46-0,O[C@@H]1[C@@H](OC(=O)c2ccc(cc2)[N](=O)[O-])C=C2[C@H]3[C@@H]1c1cc4OCOc4cc1C[N@]3CC2,
18,1429255-63-9,N#C/C(=C\c1cc(O[C@H]2O[C@@H](CO)[C@@H]([C@H]([C@H]2O)O)O)c(c(c1)[N](=O)[O-])O)/C(=O)N(CC)CC,
19,1469993-06-3,OC(=O)[C@]12CC[C@@]3([C@@H]([C@@H]1[C@H](CC2)C(=C)C)CC[C@H]1[C@]3(C)CC[C@H]2[C@]1(C)CC/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C2(C)C)C,
20,1469993-07-4,OC(=O)[C@]12CC[C@@]3([C@H]([C@@H]1[C@@H](CC2)[C@@H](C)C=O)CC[C@@H]1[C@@]3(C)CC[C@@H]2[C@@]1(C)CC/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C2(C)C)C,
21,1469993-08-5,OC(=O)[C@]12CC[C@@]3([C@H]([C@@H]1[C@H](CC2)[C@H](C)C=O)CC[C@@H]1[C@@]3(C)CC[C@@H]2[C@@]1(C)CC/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C2(C)C)C,
22,1469993-09-6,CC(=C)[C@H]1CC[C@]2([C@@H]1[C@H]1CC[C@H]3[C@]([C@]1(C)CC2)(C)CC[C@H]1[C@]3(C)CC/C(=N/Nc2ccc(cc2[N](=O)[O-])[N](=O)[O-])/C1(C)C)C(=O)OC,
23,1469993-10-9,c1cccc(c1)COC(=O)[C@]12CC[C@@]3([C@@H]([C@H]1[C@H](CC2)C(=C)C)CC[C@H]1[C@]3(C)CC[C@H]2[C@]1(C)CC/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C2(C)C)C,
24,1469993-11-0,OC(=O)[C@@]12CC[C@H]([C@H]2[C@H]2[C@](CC1)(C)[C@]1([C@H](CC2)[C@]2(C)CC/C(=N/Nc3ccc(cc3[N](=O)[O-])[N](=O)[O-])/C([C@@H]2CC1)(C)C)C)/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C,
25,1469993-12-1,OC(=O)[C@]12CC[C@@H]([C@H]2[C@H]2[C@](CC1)(C)[C@@]1(C)CC[C@H]3[C@]([C@H]1CC2)(C)CC/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C3(C)C)C(=O)C,
26,1469993-13-2,OC(=O)[C@@]12CC[C@H]([C@@H]2[C@@H]2[C@](CC1)(C)[C@]1(C)CC[C@H]3[C@@]([C@@H]1CC2)(C)CC[C@@H](C3(C)C)O)/C(=N/Nc1ccc(cc1[N](=O)[O-])[N](=O)[O-])/C,
27,1601461-31-7,OC(=O)C[C@@]12C3=[N](CC[C@@]43c3cccc(c3N([C@H]4CC1)C(=O)C)O)CCC2,
28,1612776-49-4,Oc1ccc(cc1)c1o[c]2cc(O)c(c(c2cc1)OC)O,
29,1616254-72-8,Oc1c(O)c[c]2c(c1OC)ccc(o2)c1ccc(cc1)OC,
30,1621990-95-1,C=CCc1ccc(c(c1)OC)OC(=O)c1ccccc1[N](=O)[O-],
31,1800099-59-5,OC/C(=C\CCCC)/[N](=O)[O-],
